rank,name,category,headquarters,ceo,total_revenue,private_donations,other_income,total_expenses,charitable_services,management_&_general,fundraising,surplus/loss,net_assets,charitable_commitment,fundraising_efficiency,donor_dependency,highest_compensation,url
1.,Feeding America,Domestic Needs,"Chicago, Illinois",Claire Babineaux-Fontenot,$4.2B,$4.1B,$152M,$4B,$4B,$14M,$45M,$165M,$565M,99%,99%,96%,"$969,325",https://www.forbes.com/companies/feeding-america/?list=top-charities
15.,Nature Conservancy,Environment/Animal,"Arlington, Virginia",Jennifer Morris,$1.8B,$884M,$298M,$903M,$620M,$160M,$123M,$923M,$7.9B,68%,86%,-4%,"$876,273",https://www.forbes.com/companies/nature-conservancy/?list=top-charities
14.,Samaritan's Purse,Domestic Needs,"Boone, North Carolina",W. Franklin Graham III,$1B,$953M,$9M,$716M,$602M,$54M,$59M,$299M,$1.2B,85%,94%,69%,"$807,479",https://www.forbes.com/companies/samaritans-purse/?list=top-charities
12.,Compassion International,International Needs,"Colorado Springs, Colorado",Santiago Mellado,$1.1B,$1.1B,$7M,$1.1B,$899M,$80M,$121M,$46M,$409M,82%,89%,96%,"$476,818",https://www.forbes.com/companies/compassion-international/?list=top-charities
9.,Habitat for Humanity International,International Needs,"Atlanta, Georgia",Jonathan Reckford,$2.1B,$1.3B,$753M,$1.9B,$1.6B,$176M,$154M,$202M,$3B,83%,88%,84%,"$447,020",https://www.forbes.com/companies/habitat-for-humanity-international/?list=top-charities
5.,Direct Relief,International Needs,"Santa Barbara, California",Thomas E. Tighe,$2.2B,$2.2B,$7M,$2.2B,$2.2B,$6M,$3M,-$5M,$940M,100%,100%,100%,"$565,735",https://www.forbes.com/companies/direct-relief-international/?list=top-charities
3.,St. Jude Children's Research Hospital,Medical,"Memphis, Tennessee",Richard Shadyac Jr. & James R. Downing,$2.3B,$2.4B,-$237M,$2B,$1.4B,$279M,$357M,$302M,$9.3B,69%,85%,87%,"$1,558,983",https://www.forbes.com/companies/st-jude-childrens-research-hospital/?list=top-charities
26.,Doctors Without Borders USA,International Needs,"New York, New York",Avril Benoît,$642M,$625M,$17M,$601M,$513M,$7M,$81M,$42M,$324M,85%,87%,93%,"$240,853",https://www.forbes.com/companies/doctors-without-borders-usa/?list=top-charities
99.,Northern Illinois Food Bank,Domestic Needs,"Geneva, Illinois",Julie Yurko,$223M,$187M,$22M,$209M,$204M,$2M,$3M,$14M,$62M,98%,98%,93%,"$342,696",https://www.forbes.com/companies/northern-illinois-food-bank/?list=top-charities
100.,JDRF International,Health,"New York, New York",Aaron J. Kowalski,$242M,$181M,$61M,$115M,$74M,$18M,$23M,$126M,$260M,64%,87%,30%,"$576,387",https://www.forbes.com/companies/jdrf/?list=top-charities
