Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
SuperSix EVO,SuperSix EVO LAB71,"$16,000",Burnt Pewter,C11064U,"LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",SRAM RED AXS,SRAM RED AXS,"SRAM RED AXS, 2x12","SRAM RED, 12-speed","SRAM RED AXS Power Meter, 48/35","SRAM XG-1290, 10-28, 12-speed","CeramicSpeed BSA DUB, Coated Version","SRAM RED  AXS, Paceline X 160/160mm rotors",SRAM RED AXS,"DT Swiss 180, SINC ceramic bearings, centerlock, straightpull, 12x100mm","DT Swiss 180, SINC ceramic bearings, centerlock, straightpull, 12x142mm, Ratchet EXP 36","Reserve Turbulent Aero 42 Front / Turbulent Aero 49 Rear, carbon, tubeless ready",Sapim CX-Ray Aero straight pull,29,700c,"Vittoria Corsa PRO TLR, 700x29, Wide Rim, tubeless-ready","Vittoria Corsa PRO TLR, 700x29, Wide Rim, tubeless-ready","Vittoria Corsa PRO TLR, 700x29, Wide Rim, tubeless-ready","Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Fizik Tempo Bondcush Soft, 3mm","Fizik Vento Antares 00, carbon shell and rails, 140mm","Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,"Cannondale Gripper Aero Bottles & ReGrip Aero Cages, Dual Socket Bottom Bracket Tool, SRAM AXS charger",https://embed.widencdn.net/img/dorelrl/qzsdihlv94/800px@1x/C24_C11064U_LAB71_SuperSix_EVO_BPT_D9.jpg?color=F6F6F5&q=90,,,,,,,,,
SuperSix EVO,SuperSix EVO LAB71,"$15,000",Marble Oxblood,C11052U,"LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",Shimano Dura-Ace Di2 R9250,Shimano Dura-Ace Di2 R9250,"Shimano Dura-Ace Di2 R9270, wireless, 2x12","Shimano Dura-Ace, 12-speed","Shimano Dura-Ace R9200, 52/36","Shimano Dura-Ace R9200, 11-30, 12-speed","CeramicSpeed BSA for Shimano Road, Coated Version","Shimano Dura-Ace R9270, 160/140mm MT900 rotors",Shimano Dura-Ace Di2 R9270 hydraulic disc,,,"HollowGram R-SL 50, Carbon, 20h front, 24h rear, 50mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",25,700,"Continental Grand Prix 5000, 700x25c",,,"Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Fizik Tempo Bondcush Soft, 3mm",Fizik Vento Argo 00 Carbon,"Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,"Cannondale Gripper Aero Bottles & ReGrip Aero Cages, Dual Socket Bottom Bracket Tool, Shimano EC300 charging connector",https://embed.widencdn.net/img/dorelrl/v3jsgq5tn4/800px@1x/C23_C11052U_SuperSix_EVO_LAB71_MOX_D8.jpg?color=F6F6F6&q=90,"(F) HollowGram, sealed bearing 12x100mm centerlock / (R) HollowGram, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Moterra SL,Moterra SL LAB71,"$14,000",Burnt Pewter,C65114U,"LAB71 Moterra SL, Series 1 Carbon construction, 150mm travel, Proportional Response Tuned Suspension, FlexPivot Chainstay, direct mount internal battery, engineered plastic skid plate, 55mm chainline, DirectLine internal cable routing, 29” FlipChip, 148x12mm Maxle thru-axle, UDH hanger, 200mm native post mount brake, tapered headtube, angle adjust headset","Fox Float Factory 36, 160mm travel, Grip2 Damper, Kashima coating, 15x110mm Kabolt thru-axle, tapered steerer, 44mm offset",Acros Adjustable Angle (1.2°),"SRAM XX Eagle AXS, T-Type",,SRAM Eagle AXS T-Type Ultimate Pod Controller,"SRAM XX Eagle, T-Type, Flattop","e*thirteen e*spec Race Carbon - Gen 4, 165mm, 34T","SRAM XX Eagle, T-Type, 10-52, 12-speed",,"SRAM Code Ultimate Stealth, 200mm HS2 rotors",SRAM Code Ultimate Stealth,,,"DT Swiss XMC 1501, carbon, 30mm inner width, hookless, TSS tubeless ready",DT Swiss Competition Race,2.5,29,"(F) Maxxis DHF, 29x2.5 "", 3C, EXO+, tubeless ready / (R) Maxxis Dissector , 27.5x2.4"", 3C, EXO+, tubeless ready",,,"OneUp Carbon Ebar, 35mm clamp, 35mm Rise, 8° sweep, 5° rise, 780mm","OneUp Stem, 6061 Alloy, 1-1/8"", 35mm, 0°",Cannondale TaperRidge,"Fizik Terra Ridon X1, 145mm, Wingflex, Carbon Mobius rail 7x10mm","RockShox Reverb AXS, 31.6, 150mm (S), 170mm (M-XL)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/idwjhxlh9c/800px@1x/C24_C65114U_LAB71_Moterra_Neo_SL_BPT_D6.jpg?color=F6F6F5&q=90,"(F) DT Swiss 240, 15x110mm / (R) DT Swiss 240 Ratchet EXP 36, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float X Factory, 2 pos adj, EVOL LV, 210x55mm","Shimano EP801, 85Nm, Custom Tuned, Eco, Trail 1, Trail 2, Boost Modes",Custom 601Wh battery,Custom 4A,"Shimano SC-EM800 Cycle Computer, Bluetooth LE Compatible",UL2849,
SuperSix EVO,SuperSix EVO LAB71 Team,"$14,000",EF Replica,C11105U,"LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","LAB71 SuperSix EVO, Ultralight Series 0 Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",Shimano Dura-Ace Di2 R9250,Shimano Dura-Ace Di2 R9250,"Shimano Dura-Ace Di2 R9270, wireless, 2x12","Shimano Dura-Ace, 12-speed","FSA K-Force Team Edition carbon, BB386EVO, 52/36","Shimano Dura-Ace R9200, 11-30, 12-speed","FSA MegaEVO Ceramic BB386EVO, BSA threaded, 68mm shell","Shimano Dura-Ace R9270 hydraulic disc, 160/140mm MT900 rotors",Shimano Dura-Ace Di2 R9270 hydraulic disc,"Vision PRS CL, 12x100mm centerlock","Vision PRS CL, 12x142mm centerlock, 72t Helical Clutch Ratchet","Vision Metron 60 SL Carbon Clincher TL, 21mm inner width, 60mm depth","Vision DP 2:1 aero bladed spokes, 21F / 24R",,700c,"Vittoria Corsa PRO TLR, 700x28, tubeless-ready",,,"Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing",Prologo One Touch,"Prologo Dimension NACK NDR, Carbon Rails","Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,"Cannondale Gripper Aero Bottles & ReGrip Aero Cages, Shimano EC300 charging connector",https://embed.widencdn.net/img/dorelrl/jgxyftpbbn/800px@1x/C24_C11105U_LAB71_SuperSix_EVO_Team_ERP_D7.jpg?color=fef9fa&q=90,,,,,,,,,
Scalpel SE,Scalpel SE LAB71,"$14,000",Gunmetal Green,C24143U,"Lab71 Edition Hi-MOD Carbon, 120mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube,Speed Release 12mm thru axle, SRAM UDH, Stash compatible","Lefty Ocho 120 Carbon, 120mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 50mm offset","Integrated Sealed Bearing, Tapered",SRAM XX-SL Eagle AXS T-Type,,SRAM AXS T-Type Ultimate Pod Controller,"SRAM XX, T-Type, 12-speed","SRAM XX-SL Eagle T-Type, X-Sync, 34T","SRAM XX SL Eagle, 10-52, T-Type, 12-speed",SRAM DUB PF30 MTB83,"SRAM Level Ultimate hydraulic disc, SRAM Centerline 180/160mm rotors",SRAM Level Ultimate,,,"HollowGram XC-S 27, Lightweight, Hi-Impact Carbon, 27mm inner width, 28h, tubeless ready","DT Swiss Competition Race, straight-pull",2.4,29,"(F) Maxxis Rekon Race WT 29x2.4"", EXO Protection, tubeless ready / (R) Maxxis Aspen WT 29x2.4"", EXO Protection, tubeless ready",,,"Cannondale 1 Riser, Carbon, 31.8mm, 9° sweep, 4° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°","ESI Chunky Silicone, 32mm dia.","Prologo Dimension NDR, Tirox rails","RockShox AXS Reverb Dropper, 31.6, 125mm (S), 150mm (M-L), 170mm (XL)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/slsx1rm33r/800px@1x/C23_C24143U_LAB71_Scalpel_SE_GMG_D6.jpg?color=ECFAF5&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss 350 Star Ratchet internals, 12x148mm thru-axle",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"RockShox SIDLuxe Ultimate RL, adjustable rebound",,,,,,
Scalpel,Scalpel LAB71,"$14,000",Burnt Pewter,C24103U,"Scalpel LAB71, Series 0 Carbon construction, 120mm travel, Proportional Response Suspension and Geometry, FlexPivot Chainstay, full internal cable routing, 73mm BSA, 1.5"" headtube with 1-1/8"" upper reducer/internal cable guide, 148x12mm thru axle, 55mm chainline, UDH, post-mount disc – 160mm native","Lefty Ocho 120 Carbon, 120mm, Chamber Damper, OppO Spring System, tapered steerer, 50mm offset, TwistLoc Ultimate remote dual lockout",Acros ICR,"SRAM XX SL Eagle AXS, T-Type",,SRAM AXS T-Type Ultimate Pod Controller,"SRAM XX SL, T-Type, 12-speed","SRAM XX SL T-Type, 34T","SRAM XX SL Eagle, 10-52, T-Type, 12-speed","SRAM DUB BSA 73mm MTB, Ceramic","SRAM Level Ultimate Stealth, 4-piston hydraulic disc, SRAM CLX rotors, 180mm 6-bolt (F) /160mm centerlock (R)",SRAM Level Ultimate Stealth,,,"DT Swiss XRC 1200 SPLINE, carbon, 30mm inner width, hookless, TSS tubeless ready",DT Swiss Aerolite straight pull (F) / Aerolite & Competition straight pull (R),2.4,29,"(F) Maxxis Rekon Race WT, 29x2.4"", EXO Protection, tubeless ready / (R) Maxxis Aspen WT, 29x2.4"", EXO Protection, tubeless ready",,,"SystemBar XC-One Flat, carbon, integrated bar/stem, internal cable routing, 5° upsweep, 8° backsweep, 760mm width, -6° stem, 1-1/8"" clamp","SystemBar XC-One Flat, carbon integrated bar/stem",RockShox Smooth Silicone,"Prologo Dimension NDR, Tirox rails","RockShox Reverb AXS, 31.6, 125mm (S), 150mm (M-XL)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/8sj0cgmyvo/800px@1x/C24_C24103U_LAB71_Scalpel_BPT_D6.jpg?color=F6F6F5&q=90,"DT Swiss Lefty, 6-bolt (F) / DT Swiss 180 Ratchet EXP 36, centerlock, XD driver (R)",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"RockShox SIDLuxe Ultimate, 2-Pos mode adjust, adjustable rebound, 190x45, TwistLoc Ultimate remote dual lockout",,,,,,
SuperSix EVO,SuperSix EVO Hi-MOD 1,"$13,500",Mercury,C11102U,"SuperSix EVO Hi-MOD Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","SuperSix EVO Hi-MOD Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",SRAM RED AXS,SRAM RED AXS,"SRAM RED eTap AXS HRD, 2x12","SRAM RED, 12-speed","SRAM RED AXS Carbon, 48/35","SRAM XG-1290, 10-28, 12-speed",SRAM DUB BSA,"SRAM RED eTap AXS HRD, 160/160mm Centerline-X rotors",SRAM RED eTap AXS HRD,,,"HollowGram R-SL 50, Carbon, 20h front, 24h rear, 50mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",25,700,"Continental Grand Prix 5000, 700x25c",,,"Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Cannondale SystemBar R-One - low drag, full carbon integrated bar/stem, internal routing","Fizik Tempo Bondcush Soft, 3mm","Prologo Dimension NACK NDR, Carbon Rails","Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,"Cannondale Gripper Aero Bottles & ReGrip Aero Cages, SRAM AXS charger",https://embed.widencdn.net/img/dorelrl/2anxbszs1p/800px@1x/C23_C11102U_SuperSix_EVO_HM_1_MRC_D7.jpg?color=fafafa&q=90,"(F) HollowGram, sealed bearing 12x100mm centerlock / (R) HollowGram, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
SystemSix,SystemSix Hi-MOD Dura-Ace Di2,"$13,050",Mercury,C11131U,"SystemSix Hi-MOD Carbon, integrated cable routing w/ Switchplate, SAVE, PF30a, flat mount disc, 12x142 Speed Release thru-axle","SystemSix Hi-MOD Carbon, 1-1/8"" - 1-1/4"" steerer, 12x100mm Speed Release thru-axle, flat mount disc, 55mm offset (47-51cm) 45mm offset (54-62cm)","Integrated, 1-1/8"" - 1-1/4""","Shimano Dura-Ace Di2 R9250, 12-speed",Shimano Dura-Ace Di2 R9250,"Shimano Dura-Ace Di2 R9270, wireless, 2x12",Shimano Dura-Ace Di2,"Shimano Dura-Ace R9200, 52/36T","Shimano Dura-Ace R9200, 11-30, 12-speed",FSA PF30A to 24mm Reducer,"Shimano Dura-Ace R9270 hydraulic disc, 160/140mm MT900 rotors",Shimano Dura-Ace Di2 R9270 hydraulic disc,,,"HollowGram 64 SL KNØT, Carbon, 20h front, 24h rear, 64mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",25,700c,"Vittoria Rubino Pro Speed, 700x25c",,,"HollowGram KNØT SystemBar, Carbon, 8 deg. pitch adjust","HollowGram KNØT, Alloy w/ cable cover, -17°","Cannondale Bar Tape, 3.5mm","Fizik Tempo Argo R3, 150mm width, K:ium rails","HollowGram 60 KNØT Carbon, 330mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/oe7izmccxt/800px@1x/C21_C11131U_SystemSix_HM_DA_Di2_MRC_D7.jpg?color=fafafa&q=90,"(F) HollowGram KNØT, sealed bearing 12x100mm centerlock / (R) HollowGram KNØT, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Scalpel,Scalpel Hi-MOD Ultimate,"$12,000",Tinted Red,C24102M,"Scalpel Hi-Mod Carbon, 100mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, 55mm chainline, Stash compatible","Lefty Ocho Carbon, 100mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 55mm offset","Integrated Sealed Bearing, Tapered",SRAM XX1 Eagle AXS,,"SRAM Eagle AXS, 12-speed","SRAM XX1 Eagle, Rainbow, 12-speed","SRAM XX1 Eagle DUB, 34T, 55mm chainline","SRAM XG-1299, XX1 Eagle, Rainbow, 10-52, 12-speed",SRAM DUB PF30 MTB83,"SRAM Level Ultimate hydraulic disc, 180/160mm CenterLine X rotors",SRAM Level Ultimate hydraulic disc,,,"HollowGram XC-S 27, Lightweight, Hi-Impact Carbon, 27mm inner width, 28h, tubeless ready","DT Swiss Competition Race, straight-pull",2.35,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Cannondale 1 Flat, Carbon, 31.8mm, 9° backsweep, 760mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NDR, Tirox rails","Cannondale 1, UD Carbon, 31.6x400mm",Cannondale Wheel Sensor,"Stash Kit (Fabric 8-in-1 Mini Tool and Dynaplug tubeless puncture repair tool), Tubeless valve stems",https://embed.widencdn.net/img/dorelrl/hcynujxnji/800px@1x/C22_C24102M_Scalpel_HM_ULT_TRD_D6.jpg?color=FEF3F3&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss 350 Star Ratchet internals, 12x148mm thru-axle",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float SL Factory EVOL SV, Kashima, 190x42.5, custom tune, remote lockout",,,,,,
SuperSix EVO,SuperSix EVO Hi-MOD Disc Dura-Ace Di2,"$11,749.96$13,050",Gunmetal Green,C11101U,"SuperSix EVO Hi-MOD Carbon, integrated cable routing w/ Switchplate, 12x142 Speed Release thru-axle, SAVE, PF30a, flat mount disc, integrated seat binder","SuperSix EVO Hi-MOD Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" steerer and 55mm offset (44-54cm), 1-1/8"" to 1-3/8” steerer and 45mm offset (56-62cm)","Integrated, 1-1/8"" - 1-1/4"" (44-54cm), 1-1/8"" - 1-3/8"" (56-62cm)","Shimano Dura-Ace Di2 R9250, 12-speed",Shimano Dura-Ace Di2 R9250,"Shimano Dura-Ace Di2 R9270, wireless, 2x12",Shimano Dura-Ace Di2,"Shimano Dura-Ace R9200, 52/36T","Shimano Dura-Ace R9200, 11-30, 12-speed",FSA PF30A to 24mm Reducer,"Shimano Dura-Ace R9270 hydraulic disc, 160/140mm MT900 rotors",Shimano Dura-Ace Di2 R9270 hydraulic disc,,,"HollowGram 45 SL KNØT, Carbon, 20h front, 24h rear, 45mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",25,700c,"Vittoria Corsa, 700x25c",,,"HollowGram SAVE SystemBar, Carbon, 8 deg. pitch adjust","HollowGram KNØT, Alloy w/ cable cover, -6°","Cannondale Bar Tape, 3.5mm","Fizik Tempo Argo R3, 150mm width, K:ium rails","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm, 0mm offset (44-48cm), 15mm offset (51-62cm)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/pbq5zazqwl/800px@1x/C21_C11101U_SuperSix_EVO_HM_Disc_DA_Di2_GMG_D7.jpg?color=ECFAF5&q=90,"(F) HollowGram KNØT, sealed bearing 12x100mm centerlock / (R) HollowGram KNØT, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
