title,url,discounted_price,original_price
SanDisk A1 32GB UHS-I / Class 10 up to 98MB / s Micro SDHC Memory Card EFM-530161,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/sandisk-a1-32gb-uhs-i-class-10-up-to-98mb-s-micro-sdhc-memory-card-p-165914.html,$6.72,$12.09 
18g Super Strong Sealant Fix Metal Adhesive Sealing Glue Bond HHI-557389,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,$1.40,$3.76 
64GB USB 2.0 Flash Drive USB Pen Drive U Disk EFM-561923,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/64gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-178875.html,$6.42,$19.08 
1/2/4 pcs Original Xiaomi WIFI Amplifier 2 300Mbps Wireless Wi-Fi Extender E-523361,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/124-pcs-original-xiaomi-wifi-amplifier-2-300mbps-wireless-wi-fi-extender-p-163175.html,$7.98,$17.88 
"8.5"" LCD Writing Tablet of Environmental Protection Drawing Board Gifts f Kids TTH-530169",https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/85-lcd-writing-tablet-of-environmental-protection-drawing-board-gifts-f-kids-p-166085.html,$7.63,$18.09 
ESTRELLA  32G USB2.0 High Speed Mini Flash Drive Waterproof USB EUD-555514,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/estrella-32g-usb20-high-speed-mini-flash-drive-waterproof-usb-p-176841.html,$5.45,$13.87 
128GB PU Leather USB 3.0 Flash Drive ECA-564315,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/128gb-pu-leather-usb-30-flash-drive-p-179961.html,$14.15,$19.04 
H96 MAX RK3328 Quad Core 4G + 32G Android 8.1 HD Smart TV Box E-556636,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/h96-max-rk3328-quad-core-4g-32g-android-81-hd-smart-tv-box-p-177442.html,$50.33,$125.82 
SanDisk A1 64GB UHS-I / Class 10 up to 98MB / s Micro SDHC Memory Card EFM-530162,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/sandisk-a1-64gb-uhs-i-class-10-up-to-98mb-s-micro-sdhc-memory-card-p-165915.html,$11.05,$19.66 
M3 Smart bracelet Color Screen Band Heart Rate Monitor Blood pressure E-556947,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/m3-smart-bracelet-color-screen-band-heart-rate-monitor-blood-pressure-p-177542.html,$9.78,$18.95 
